1,1,1,"Reimu Hakurei","Manipulation of Auras, High Intuition, Flight, Summoning Godly Powers","Mid-teens","Shrine maiden","Reimu Hakurei is one of the main characters of the Touhou Project series, having appeared in almost every game in the series. As the sole maiden of the Hakurei Shrine, she is commonly called upon (or calls it upon herself) to investigate strange occurrences throughout Gensokyo.In earlier games, Reimu's spiritual abilities were highly limited. (In Highly Responsive to Prayers, she was unable to directly harm enemies at all.) As time passed, however, she developed her abilities, becoming able to manipulate the Hakurei Yin-Yang Orb, special amulets, and her own spiritual power to fight more effectively. Sometime between Mystic Square and Embodiment of Scarlet Devil, she realized the ability to fly under her own jurisdiction. (Before then, she relied on Genjii, her turtle familiar, to fly.)Reimu is commonly described as easygoing, curious, dutiful, and optimistic — sometimes overly so. Her personality seems sympathetic toward many individuals; there are few characters who remain her rivals past the first encounter. Her shrine has become a moderately popular locale for some of Gensokyo's residents.","Th14Reimu.png"
2,2,1,"Marisa Kirisame","High-level Magic","Mid-teens","Magician, Kirisame Magic Shop owner, burglar, part-time youkai hunter","Marisa Kirisame is a human magician, and is one of the most important sub-characters of the series (according to series producer ZUN). Her personality is sometimes described as disagreeable, but in some other titles, straightforward. Either way, she is a very self-confident person that likes to stick her nose into every trouble out of curiosity.During the events of Story of Eastern Wonderland, she made her first appearance as a minion of Mima, to prevent Reimu from reaching her boss, but was defeated. Since then, she has appeared in all but one title of the Touhou series (and some non-Touhou titles too), usually sided with Reimu, but sometimes against her.She is also known as a hard worker, who's trying to catch up to Reimu with her secret training and magic development. That makes a good contrast to other humans appearing in the series, most of them have some kind of natural born talent (Reimu) or ability (Sakuya). So she is sometimes referred as the \"most human-ish human\" in the series.Marisa is the author of The Grimoire of Marisa, a collection of notes about spellcards used by her and other danmaku users she has encountered.","Th14Marisa.png"
3,3,2,"Cirno","Manipulating Ice (Glaciokinesis)","Implied to be over 60 years, though she is a child in youkai terms","Unknown","Cirno is an ice fairy. While she is described as a weak boss in the Touhou series, if we consider the power of average fairies - who appear often as regular enemies - we can certainly say she is exceptionally strong for her kind, and she is implied to be so in Phantasmagoria of Flower View by Eiki Shiki. Her personality is childish and rather incompetent, as you might expect from her appearance.\r\n\r\nDuring the events of Embodiment of Scarlet Devil, she attacked the player, who was just passing by, likely to test her strength.\r\n\r\nIn Perfect Cherry Blossom, she returned as the midboss of stage 1, presumably to challenge the player character again to prove her strength.\r\n\r\nIn Phantasmagoria of Flower View, Cirno aimlessly wandered about, apparently unconcerned by the flower incident for any reason other than the flowers being something else for her to freeze and play with.\r\n\r\nIn Hisoutensoku, Cirno was intrigued by what she believed to be the great Daidarabotchi and hoped to tame it so that she won't be afraid of anything anymore. She showed her intelligence by admitting that she is incapable of defeating the Daidarabotchi if it lives in the hot spring's boiler, since it is too hot for her.\r\n\r\nAfter the events of Strange and Bright Nature Deity, in Fairy Wars, Cirno tries to find those responsible for destroying their house. Learning that it was the Three Mischievous Fairies, she goes in search of those responsible, which she defeats easily though they all challenge her at once.\r\n\r\nAfter this &quot;incident\", Cirno wanders around for a while, bored of what she perceives as weak opponents. While wandering, she encounters Marisa Kirisame, making Cirno think she is a worthy opponent. They battle, and later, Marisa pauses and realizes that Cirno isn't as much of a pushover as the usual fairy, so she increases the power of her attacks.\r\n\r\nShe was last seen as a playable character in Hidden Star in Four Seasons, along with Reimu Hakurei, Marisa Kirisame and Aya Shameimaru.","240px-Th14Cirno.png"
4,4,4,"Patchouli Knowledge","Magic, especially good at Elemental Magic","100 years","Intellectual, librarian, teacher and scholar","Patchouli Knowledge is a very smart, asthmatic magician from the Scarlet Devil Mansion. Although she has only been a boss in one game, and playable character in three others, she is still a very popular character, showing up in many endings and is referenced quite often. She spends most of her time in the mansion's library reading and writing magic books. It seems that she's capable of very powerful magic of all kinds, using many elements in a single spell, but due to asthma and general poor health she's often unable to recite her spells.In Embodiment of Scarlet Devil, she attempts to stop the player from going further into the Scarlet Devil Mansion. In the extra stage, she tries again, and uses much more powerful magic, in part because she says she \"felt better that day\".She rarely leaves the Scarlet Devil Mansion, but in Immaterial and Missing Power, she makes an exception to go investigate the recent strange events. In other character's scenarios, she's visited by several of them, thinking that she, of all people, must know what the strange mist is. However, getting a straight answer from her is anything but easy. In Scarlet Weather Rhapsody, she decided to find what was the cause of the weather disaster. In the events of Subterranean Animism, she noticed the abnormalities in the underground, and had Marisa go with the help of Yukari preparing Marisa's options.During Silent Sinner in Blue, Patchouli constructed a rocket ship for the girls to fly to the moon.","PatchouliSWR.png"
5,4,1,"Sakuya Izayoi","Manipulation of Time, Manipulation of Space, Knife proficiency","Appears to be between 16-20 years old","Maid, Scarlet Devil Mansion Chief Maid","Easily one of the most enigmatic characters, despite appearing in so many games, Sakuya Izayoi is the Chief Maid at the Scarlet Devil Mansion. She works for her mistress, Remilia Scarlet, and is apparently the only human working at or living within the mansion. She has the power to manipulate time. She is known to then place knives in midair and resume time to allow these knives to fly towards her targets. Stopping time is also a handy way of doing large amounts of maid work in a short time. Because nearly everyone living or working at the mansion are maids, being the chief of them all means there are almost no people there with more authority within the mansion than Sakuya.During Embodiment of Scarlet Devil, Sakuya attempts to prevent the heroine from reaching her mistress, to whom she is very loyal, but fails.Later, during Perfect Cherry Blossom, Sakuya is able to show more of her true character, even if her main reason for trying to solve the problem is that the delayed Spring will affect her too.During the events of Scarlet Weather Rhapsody, she is initially commanded by Remilia to find possible suspects behind the strange weather. After Remilia grows tired of \"questioning\" suspects, she orders Sakuya to personally find and deal with the culprit. After doing so, Sakuya tells Reimu where to find the culprit, and later helps to rebuild the Hakurei Shrine after it is destroyed for the second time.","Th14Sakuya.png"
6,4,5,"Remilia Scarlet","Manipulation of Fate","Approximately 500 years old","Mistress of the Scarlet Devil Mansion","Remilia Scarlet is the owner and head of the Scarlet Devil Mansion, the mistress of Sakuya and Meiling, and the older sister (and guardian) of Flandre. Though her appearance (and often behavior) is childlike, and seems nonthreatening, she has fearsome magical powers and a reputation to match, being known throughout Gensokyo as the dangerous \"Scarlet Devil.\" Like all vampires she is photosensitive and weakens when exposed to sunlight, so she typically remains inside her mansion (which has few windows to prevent light getting in) during the day and emerges during the night. While she is naturally known to drink human blood, her light appetite means her victims almost never die from their wounds.While her behavior is usually self-centered and somewhat bratty, it is possible to befriend her, however, humans and youkai alike prefer to avoid her. Her name, appearance, house, and clothing all indicate she is European in origin and emigrated to Japan many years ago (Her reason is unknown). She claims to be a descendant of the world's most notorious vampire, Count Vlad Tepes Dracul, but this is a bald-faced lie.","RemiliaSWR.png"
7,4,3,"Hong Meiling","Chinese Martial Arts, Manipulation of Qi","Unknown","Gatekeeper and Gardener of the Scarlet Devil Mansion","Hong Meiling is a youkai, though it isn't currently known which specific category she actually belongs to. She guards the entrance to the Scarlet Devil Mansion along with her henchmen. She is known for her mastery of the martial arts, part of which can be seen from her movement which is performed with Shin-Kyaku (a move in Chinese martial arts).During the events of Embodiment of Scarlet Devil, she tries to stop the heroine from entering the mansion, but fails. On Immaterial and Missing Power, she actually has no proper backstory and is only playable at arcade. However on Touhou Hisoutensoku, she is a playable character and the only one that encounters the Unnamed Giant Catfish, even though she never properly defeated it.During Unthinkable Natural Law, Meiling spotted a wandering giant and thought it was a Chinese god, \"Taisui Xinjun\". Meiling went to locate the giant and battle them, not realising the danger she was in.","MeirinHS.png"
8,4,5,"Flandre Scarlet","Destruction of anything and everything by crushing the \"eye\"","Approximately 495 years","Unknown","Flandre Scarlet is the younger sister of Remilia and the \"dirty little secret\" of the Scarlet Devil Mansion. Because of her unstable personality and incredibly destructive power, she lives in the basement of the Scarlet Devil Mansion. She's immune to Holy objects and has incredible physical strength. Her sister has ordered her not to leave the mansion for nearly 500 years. She knows little about the world outside and, until the heroines arrived during the Extra Stage of Embodiment of Scarlet Devil, she has had no substantive contact with any humans other than Sakuya.","FlandreProfile.png"
2002,12020,3002,"Chen","Black Magical Arts","At least 30 years old","Ran's shikigami","Chen is Ran's shikigami, who was guarding the village of Mayohiga during the events of Perfect Cherry Blossom. Unfortunately, she could put up little resistance due to being far away from her master.\r\n\r\nLater, she guards the path to Ran Yakumo, and is much more powerful due to her master's proximity, but is still defeated in battle.","120px-PCBChen.png"
2003,2,3,"Alice Margatroid","Magic, Puppetry proficiency","Unknown, but young for a Youkai","Magician","Alice Margatroid is one of only a few people known to live within the Forest of Magic. She's a magician known primarily for her skillful use of dolls as well as being a loner. She gets in many fights with Marisa but they are somewhat acquaintances, sharing many of the same interests and even teaming up during Imperishable Night and Subterranean Animism.\r\n\r\nDuring Mystic Square, as a stage 3 boss, she attempted to prevent the heroine from proceeding. After the events she returns as the extra stage boss. Because Alice had learnt new types of magic from the grimoire, it is likely she became a youkai before the second encounter due to the high level magic. Nevertheless, she was still defeated. However, her dialogue with Reimu in stage 3 suggests that species changed before her appearance in the series.\r\n\r\nIn Immaterial and Missing Power the vast majority of her attacks involved dolls in one way or another, either attacking for her or being used as explosives. She is a doll specialist, but dolls are more like a hobby in comparison to her full power. Alice is always seen with a locked grimoire in her hands, which is thought to be the same &quot;Grimoire of Alice\" that she fought the protagonist with as the Mystic Square Extra Boss.\r\n\r\nBecause Alice, unlike Marisa, is much more interested in strategy and hates having to win a fight from sheer overwhelming power, she always holds back even if it means losing.\r\n\r\nIn Unthinkable Natural Law she creates a giant doll and tests it in battle against Cirno at the end of the latter's Story Mode. Later, her Giant Doll became an urban legend.","310px-Swr_alice.png"
