1,2,null,"A Magician"
2,2,1,"The Strange Magician"
3,2,2,"Ordinary Magician"
4,1,null,"Heroine"
5,1,null,"Shrine Maiden"
6,1,1,"Eternal Shrine Maiden"
7,1,2,"Wonderful Shrine Maiden of Paradise"
8,3,1,"Ice Fairy of the Lake"
9,3,2,"Youkai of the Ice"
10,4,1,"The Girl of Knowledge and Shadow"
11,5,1,"Maid of the Scarlet Devil Mansion"
13,6,1,"Eternally Young Scarlet Moon"
14,6,null,"The Eternally Red New Moon"
15,7,1,"Chinese Girl"
16,7,null,"Colorful Rainbow Gatekeeper"
17,8,1,"Sister of the Devil"
2002,2002,2,"Black Cat of Bad Omens"
2003,2002,2,"A Shikigami of a Shikigami of the Sukima Youkai"
2004,2002,null,"Hyperactive Monster Cat"
2005,2003,null,"Young Lady of Death "
2006,2003,null,"Alice of the Country of Magic"
2007,2003,2,"Seven-Colored Puppeteer"
3007,1,2004,"Shrine Maiden of Paradise"
3008,1,null,"Sunny Shrine Maiden"
3009,1,null,"Flying Mysterious Shrine Maiden"
3010,1,null,"Freewheeling Human"
3011,1,3002,"Shrine Maiden of the Five Desires"
3012,1,null,"Wonderful Shaman of Paradise"
3013,1,null,"Speaker for the Eight Million Gods"
3014,2,null,"A Being made of Magic and Red Dream"
3015,2,null,"Magician of Red Dreams"
3016,2,2002,"An Ordinary Black Magician "
3017,2,null,"Magician of Misty Rain"
3018,2,null,"Boldly Timid Human"
3019,2,null,"The Magician Passing By"
3020,2,3002,"Greedy Magician"
3021,2,null,"Extremely Ordinary Magician"
3022,2,null,"The Magician Representing Humanity"
3023,3,2003,"Small Ice Fairy"
3024,3,null,"Unnatural Chill"
3025,3,null,"Ice Fairy"
3026,3,null,"Fairy of Ice"
3027,4,2005,"The Unmoving Great Library"
3028,4,null,"Enigmatic Source of Magic"
3029,4,null,"Witch of the Spring Haze"
3030,5,null,"Perfect and Elegant Servant"
3031,5,null,"Chief Maid of the Scarlet Devil Mansion"
3032,5,2003,"Perfect and Elegant Maid"
3033,5,null,"Dangerous Illusionist"
3034,5,null,"Maid of the Evening Storm"
3035,5,null,"Scarlet Devil Mansion Maid"
3036,5,null,"The Vampire's Maid"
3037,6,2002,"The Scarlet Devil"
3038,6,null,"World of Crimson"
3039,6,null,"Vampire of the Heavy Fog"
3040,6,null,"Eternally Young Red Moon"
3041,8,null,"Diabolic Wave"
3042,2003,null,"Superficially Busy Youkai"
3043,2003,null,"Puppeteer of Hail"
3044,2004,2,"Three Poltergeist Sisters"
3045,2004,2003,"Poltergeist Violinist"
3046,2005,2,"Three Poltergeist Sisters"
3047,2005,2003,"Poltergeist Trumpeter"
3048,2006,2,"Three Poltergeist Sisters"
3049,2006,2003,"Poltergeist Keyboardist"
3050,2007,2,"Ghostly Gardener"
3051,2007,null,"Half-phantom Gardener"
3052,2007,2002,"Half-human Half-ghost"
3053,2007,2003,"Half-human Half-ghost and Half-baked"
3054,2007,null,"Kirisute Gomen"
3055,2007,null,"Gardener of the Azure Sky"
3056,2007,3002,"Half-Spirit with Desire for Death"
3057,2008,2,"Ghostly Girl in the Netherworld Tower"
3058,2008,null,"Innocent Ghost"
3059,2008,2002,"Ghost from the Calamitous Nirvana"
3060,2008,2002,"Dreaming Ghost"
3061,2008,null,"Elegant Ghost Photography"
3062,2008,null,"Snowy Ghost"
3063,2008,3002,"Stationary Ghost"
3064,2009,2,"Shikigami of the Youkai of Boundaries"
3065,2009,null,"Unusual Animal"
3066,2009,null,"The Scheming Nine-Tailed Fox"
3067,2010,2,"Mastermind Behind the Spiriting Away"
3068,2010,null,"Border of Phantasm"
3069,2010,2002,"Youkai of Boundaries"
3070,2010,2002,"Youkai that lurks in the Boundary"
